Unnamed: 0,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,1980,oly,M,1.0,Sultan Rakhmanov,URS,A,145.25,185.0,190.0,195.0,195.0,1,230.0,237.5,245.0,245.0,1,440.0
1,1980,oly,M,2.0,JÃ¼rgen Heuser,GDR,A,133.95,-182.5,182.5,-187.5,182.5,2,-227.5,227.5,-242.5,227.5,2,410.0
2,1980,oly,M,3.0,Tadeusz Rutkowski,POL,A,124.9,175.0,180.0,-182.5,180.0,4,222.5,227.5,-230.0,227.5,2,407.5
3,1980,oly,M,4.0,Rudolf StrejÄ�ek,TCH,A,133.1,182.5,-187.5,-187.5,182.5,2,220.0,-225.0,-225.0,220.0,4,402.5
4,1980,oly,M,5.0,Bohuslav Braum,TCH,A,148.45,-180.0,-180.0,180.0,180.0,4,212.5,217.5,-222.5,217.5,6,397.5
5,1980,oly,M,6.0,Francisco MÃ©ndez,CUB,A,134.3,175.0,-180.0,-180.0,175.0,6,220.0,-230.0,-230.0,220.0,4,395.0
6,1980,oly,M,7.0,Robert Skolimowski,POL,A,148.5,-175.0,175.0,-180.0,175.0,6,210.0,-222.5,-222.5,210.0,7,385.0
7,1980,oly,M,8.0,Talal Najjar,SYR,A,133.3,145.0,152.5,157.5,157.5,9,200.0,205.0,-207.5,205.0,8,362.5
8,1980,oly,M,0.0,Jouko LeppÃ¤,FIN,A,149.7,150.0,155.0,160.0,160.0,8,-210.0,-210.0,-210.0,-210.0,12,0.0
9,1980,oly,M,0.0,Marin Parapancea,ROU,A,115.3,-162.5,-162.5,-162.5,-162.5,10,0.0,0.0,0.0,0.0,9,0.0
10,1980,oly,M,0.0,Gerardo FernÃ¡ndez,CUB,A,128.0,-170.0,-170.0,-170.0,-170.0,11,0.0,0.0,0.0,0.0,9,0.0
11,1980,oly,M,0.0,Vasily Alekseyev,URS,A,161.75,-180.0,-180.0,-180.0,-180.0,12,0.0,0.0,0.0,0.0,9,0.0
0,1980,oly,M,1.0,Ota Zaremba,TCH,A,99.15,175.0,-180.0,180.0,180.0,1,205.0,210.0,215.0,215.0,2,395.0
1,1980,oly,M,2.0,Igor Nikitin,URS,A,99.25,167.5,175.0,177.5,177.5,2,210.0,215.0,-220.0,215.0,2,392.5
2,1980,oly,M,3.0,Alberto Blanco,CUB,A,98.15,167.5,172.5,-175.0,172.5,4,207.5,212.5,-220.0,212.5,4,385.0
3,1980,oly,M,4.0,Michael Henning,GDR,A,98.35,165.0,-170.0,-170.0,165.0,8,212.5,217.5,-222.5,217.5,1,382.5
4,1980,oly,M,5.0,JÃ¡nos SÃ³lyomvÃ¡ri,HUN,A,98.25,-175.0,175.0,-180.0,175.0,3,-205.0,205.0,-212.5,205.0,7,380.0
5,1980,oly,M,6.0,Manfred Funke,GDR,A,98.65,170.0,-175.0,-175.0,170.0,6,207.5,-212.5,-212.5,207.5,6,377.5
6,1980,oly,M,7.0,Anton Baraniak,TCH,A,98.9,-160.0,160.0,165.0,165.0,8,210.0,-217.5,-217.5,210.0,5,375.0
7,1980,oly,M,8.0,LÃ¡szlÃ³ Varga,HUN,A,97.15,167.5,172.5,-175.0,172.5,4,195.0,-200.0,-200.0,195.0,9,367.5
8,1980,oly,M,9.0,Michael Persson,SWE,A,97.9,152.5,157.5,160.0,160.0,10,192.5,197.5,200.0,200.0,8,360.0
9,1980,oly,M,10.0,Pekka Niemi,FIN,A,99.35,150.0,-155.0,155.0,155.0,12,-192.5,192.5,-207.5,192.5,10,347.5
10,1980,oly,M,11.0,John Burns,GBR,A,99.8,-157.5,157.5,-162.5,157.5,11,180.0,-190.0,-190.0,180.0,12,337.5
11,1980,oly,M,12.0,Birgir BorgÃ¾Ã³rsson,ISL,A,95.95,142.5,147.5,-150.0,147.5,13,182.5,-187.5,-187.5,182.5,11,330.0
12,1980,oly,M,13.0,Omar Yousfi,ALG,A,98.55,-132.5,132.5,140.0,140.0,14,172.5,180.0,-185.0,180.0,12,320.0
13,1980,oly,M,14.0,Addison Dale,ZIM,A,91.35,100.0,-105.0,-105.0,100.0,16,125.0,-130.0,-130.0,125.0,14,225.0
14,1980,oly,M,0.0,Plamen Asparukhov,BUL,A,99.6,170.0,-175.0,-175.0,170.0,6,-205.0,-205.0,-205.0,-205.0,18,0.0
15,1980,oly,M,0.0,Raef Ftouni,LBA,A,96.4,-132.5,132.5,140.0,140.0,14,-170.0,-170.0,-170.0,-170.0,17,0.0
16,1980,oly,M,0.0,Franz Strizik,AUT,A,98.55,-155.0,-155.0,-155.0,-155.0,18,0.0,0.0,0.0,0.0,15,0.0
17,1980,oly,M,0.0,Michel Broillet,SUI,A,95.1,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,15,0.0
