,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,1997,iwf,W,1.0,Ma Runmei,CHN,A,97.75,102.5,-107.5,107.5,107.5,2,140.0,145.0,0.0,145.0,1,252.5
1,1997,iwf,W,2.0,Chen Shu-chih,TPE,A,90.9,102.5,105.0,-107.5,105.0,4,135.0,-140.0,-140.0,135.0,4,240.0
2,1997,iwf,W,3.0,Aye Aye Aung,MYA,A,107.05,100.0,105.0,110.0,110.0,1,130.0,-140.5,-140.5,130.0,5,240.0
3,1997,iwf,W,4.0,Bilkisu Musa,NGR,A,89.1,-102.5,102.5,107.5,107.5,2,125.0,-130.0,-130.0,125.0,6,232.5
4,1997,iwf,W,5.0,Vita Rudenok,UKR,A,85.25,90.0,95.0,100.0,100.0,6,-115.0,115.0,-120.0,115.0,10,215.0
5,1997,iwf,W,6.0,Lourdes Gorostegui,ESP,A,90.2,90.0,92.5,95.0,95.0,7,112.5,117.5,-122.5,117.5,7,212.5
6,1997,iwf,W,7.0,Katarina Sederholm,NOR,A,90.65,90.0,95.0,-97.5,95.0,7,-115.0,115.0,117.5,117.5,7,212.5
7,1997,iwf,W,8.0,Agata Wróbel,POL,A,100.5,-95.0,-95.0,95.0,95.0,7,110.0,115.0,117.5,117.5,7,212.5
8,1997,iwf,W,9.0,Olivia Baker,NZL,A,101.6,85.0,-90.0,-90.0,85.0,11,112.5,-117.5,-117.5,112.5,11,197.5
9,1997,iwf,W,10.0,Filippia Kochliaridou,GRE,A,83.3,85.0,-90.0,-90.0,85.0,11,107.5,-112.5,-112.5,107.5,12,192.5
10,1997,iwf,W,11.0,Sheeva Peo,NRU,A,86.1,72.5,-77.5,77.5,77.5,13,100.0,-105.0,-105.0,100.0,13,177.5
11,1997,iwf,W,0.0,Lisa Brien,USA,A,124.05,87.5,-92.5,-92.5,87.5,10,-112.5,-112.5,-112.5,-112.5,14,0.0
12,1997,iwf,W,0.0,Chen Hsiao-lien,TPE,A,99.6,-102.5,-102.5,-102.5,-102.5,14,137.5,-142.5,-142.5,137.5,3,0.0
13,1997,iwf,W,0.0,Nurcihan Gönül,TUR,A,87.7,-102.5,102.5,-107.5,102.5,5,135.0,-140.0,140.0,140.0,2,0.0
