,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,1999,iwf,W,1.0,Xu Jiao,CHN,A,74.32,107.5,110.0,112.5,112.5,1,130.0,135.0,-137.5,135.0,1,247.5
1,1999,iwf,W,2.0,Kim Soon-hee,KOR,A,73.31,100.0,105.0,107.5,107.5,2,130.0,-135.0,135.0,135.0,1,242.5
2,1999,iwf,W,3.0,Ruth Ogbeifo,NGR,A,74.61,102.5,107.5,-110.0,107.5,2,130.0,132.5,-135.0,132.5,3,240.0
3,1999,iwf,W,4.0,Kuo Yi-hang,TPE,A,74.63,102.5,-107.5,-107.5,102.5,5,132.5,-137.5,-137.5,132.5,3,235.0
4,1999,iwf,W,5.0,Tatyana Khromova,KAZ,A,74.98,100.0,105.0,-107.5,105.0,4,120.0,125.0,130.0,130.0,5,235.0
5,1999,iwf,W,6.0,Karoliina Lundahl,FIN,A,74.87,102.5,-107.5,-107.5,102.5,5,125.0,-130.0,-130.0,125.0,6,227.5
6,1999,iwf,W,7.0,Cara Heads,USA,A,72.99,97.5,102.5,-105.0,102.5,5,117.5,-122.5,122.5,122.5,9,225.0
7,1999,iwf,W,8.0,Aye Mon Khin,MYA,A,75.0,-102.5,-102.5,102.5,102.5,5,-122.5,122.5,-130.0,122.5,9,225.0
8,1999,iwf,W,9.0,Wanda Rijo,DOM,A,74.02,92.5,-97.5,97.5,97.5,11,120.0,125.0,-130.0,125.0,6,222.5
9,1999,iwf,W,10.0,Mónica Carrió,ESP,A,74.03,100.0,102.5,-105.0,102.5,5,115.0,120.0,-122.5,120.0,13,222.5
10,1999,iwf,W,11.0,Gyöngyi Likerecz,HUN,A,74.77,95.0,100.0,-102.5,100.0,10,120.0,122.5,-125.0,122.5,9,222.5
11,1999,iwf,W,12.0,Svetlana Khabirova,RUS,A,71.32,95.0,-100.0,-100.0,95.0,15,115.0,120.0,125.0,125.0,6,220.0
12,1999,iwf,W,13.0,Line Mary,FRA,A,74.25,95.0,97.5,-100.0,97.5,11,-115.0,115.0,120.0,120.0,13,217.5
13,1999,iwf,W,14.0,Theresa Brick,CAN,A,74.93,92.5,-97.5,97.5,97.5,11,112.5,117.5,120.0,120.0,13,217.5
14,1999,iwf,W,15.0,Stephanie Mantek,GER,A,71.68,92.5,95.0,-97.5,95.0,15,115.0,120.0,-122.5,120.0,13,215.0
15,1999,iwf,W,16.0,Jeane Lassen,CAN,A,74.08,87.5,92.5,-95.0,92.5,18,117.5,-122.5,122.5,122.5,9,215.0
16,1999,iwf,W,17.0,Ilona Dankó,HUN,A,74.65,97.5,-102.5,-102.5,97.5,11,112.5,117.5,-122.5,117.5,17,215.0
17,1999,iwf,W,18.0,Theano Zagkliveri,GRE,A,74.06,85.0,-90.0,90.0,90.0,19,105.0,-110.0,110.0,110.0,19,200.0
18,1999,iwf,W,19.0,Romi Devi,IND,A,74.63,-85.0,85.0,90.0,90.0,19,105.0,110.0,-115.0,110.0,19,200.0
19,1999,iwf,W,20.0,Caroline Pileggi,AUS,A,74.94,85.0,-90.0,-90.0,85.0,22,110.0,-115.0,-115.0,110.0,19,195.0
20,1999,iwf,W,21.0,Iwona Mikołajczewska,POL,A,73.75,85.0,90.0,-92.5,90.0,19,100.0,-105.0,-105.0,100.0,26,190.0
21,1999,iwf,W,22.0,Anja Moldenhauer,GER,A,72.95,80.0,-85.0,85.0,85.0,22,102.5,-107.5,-107.5,102.5,25,187.5
22,1999,iwf,W,23.0,Amanda Phillips,AUS,A,69.81,77.5,-80.0,80.0,80.0,24,100.0,-105.0,105.0,105.0,23,185.0
23,1999,iwf,W,24.0,Beate Amdahl,NOR,A,73.55,-75.0,77.5,80.0,80.0,24,105.0,-110.0,-110.0,105.0,23,185.0
24,1999,iwf,W,25.0,Cinthya Domínguez,MEX,A,73.69,-80.0,80.0,-85.0,80.0,24,100.0,-105.0,-105.0,100.0,26,180.0
25,1999,iwf,W,26.0,Zuzana Kováčová,SVK,A,72.35,77.5,-82.5,-82.5,77.5,27,100.0,-105.0,-105.0,100.0,26,177.5
26,1999,iwf,W,27.0,Kineret Vainstein,ISR,A,70.25,60.0,65.0,-70.0,65.0,29,67.5,72.5,-77.5,72.5,30,137.5
27,1999,iwf,W,0.0,Oksana Sukhoruk,UKR,A,73.81,-95.0,-95.0,95.0,95.0,15,-120.0,-120.0,-120.0,-120.0,31,0.0
28,1999,iwf,W,0.0,Mylona Kleanthi,GRE,A,71.38,-80.0,-80.0,-80.0,-80.0,30,105.0,100.0,115.0,115.0,18,0.0
29,1999,iwf,W,0.0,Mihaela Geambașu,ROU,A,74.89,-100.0,-100.0,-100.0,-100.0,31,110.0,-120.0,-120.0,110.0,19,0.0
30,1999,iwf,W,0.0,Michele David,MRI,A,74.81,75.0,77.5,-80.0,77.5,27,95.0,97.5,100.0,100.0,26,0.0
