,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,2006,iwf,M,1.0,Hossein Rezazadeh,IRI,A,162.87,196.0,202.0,-206.0,202.0,1,242.0,246.0,0.0,246.0,1,448.0
1,2006,iwf,M,2.0,Artem Udachyn,UKR,A,142.04,195.0,199.0,-205.0,199.0,2,235.0,240.0,-245.0,240.0,4,439.0
2,2006,iwf,M,3.0,Dong Feng,CHN,A,134.28,185.0,192.0,-198.0,192.0,4,235.0,245.0,-251.0,245.0,2,437.0
3,2006,iwf,M,4.0,Viktors Ščerbatihs,LAT,A,141.67,192.0,198.0,-200.0,198.0,3,-236.0,236.0,-245.0,236.0,5,434.0
4,2006,iwf,M,5.0,Grzegorz Kleszcz,POL,A,121.29,180.0,-185.0,-185.0,180.0,6,225.0,-229.0,-230.0,225.0,7,405.0
5,2006,iwf,M,6.0,Dimitrios Papageridis,GRE,A,137.1,178.0,182.0,-188.0,182.0,5,216.0,222.0,-227.0,222.0,8,404.0
6,2006,iwf,M,7.0,Song Young-hoon,KOR,A,136.28,165.0,170.0,-175.0,170.0,11,215.0,226.0,-236.0,226.0,6,396.0
7,2006,iwf,M,8.0,Almir Velagić,GER,A,127.64,170.0,175.0,-178.0,175.0,8,210.0,216.0,220.0,220.0,9,395.0
8,2006,iwf,M,9.0,Arkadiusz Białek,POL,A,107.34,175.0,-180.0,-182.0,175.0,8,210.0,215.0,-217.0,215.0,10,390.0
9,2006,iwf,M,10.0,Casey Burgener,USA,B,120.38,170.0,-175.0,175.0,175.0,8,210.0,215.0,-221.0,215.0,10,390.0
10,2006,iwf,M,11.0,William Solís,COL,B,119.08,-160.0,160.0,165.0,165.0,18,-205.0,205.0,215.0,215.0,10,380.0
11,2006,iwf,M,12.0,Ihor Shymechko,UKR,B,122.89,180.0,-185.0,-185.0,180.0,6,-200.0,200.0,-205.0,200.0,16,380.0
12,2006,iwf,M,13.0,Petr Sobotka,CZE,B,159.09,170.0,-175.0,-175.0,170.0,11,210.0,-220.0,0.0,210.0,13,380.0
13,2006,iwf,M,14.0,Libor Wälzer,CZE,B,109.25,160.0,165.0,170.0,170.0,11,196.0,200.0,-203.0,200.0,16,370.0
14,2006,iwf,M,15.0,Itte Detenamo,NRU,C,145.38,158.0,163.0,167.0,167.0,15,-200.0,200.0,203.0,203.0,14,370.0
15,2006,iwf,M,16.0,Cristián Escalante,CHI,C,121.04,160.0,-167.0,167.0,167.0,15,-195.0,195.0,202.0,202.0,15,369.0
16,2006,iwf,M,17.0,Péter Nagy,HUN,B,133.07,161.0,167.0,-172.0,167.0,15,195.0,-203.0,-203.0,195.0,21,362.0
17,2006,iwf,M,18.0,Víctor Heredia,VEN,B,122.74,160.0,-165.0,-165.0,160.0,19,200.0,-207.0,-208.0,200.0,16,360.0
18,2006,iwf,M,19.0,Julio Arteaga,ECU,B,126.61,150.0,-155.0,155.0,155.0,20,-200.0,200.0,-205.0,200.0,16,355.0
19,2006,iwf,M,20.0,Damon Kelly,AUS,C,149.5,146.0,152.0,-158.0,152.0,23,190.0,200.0,-205.0,200.0,16,352.0
20,2006,iwf,M,21.0,Modestas Šimkus,LTU,B,105.19,153.0,-160.0,-160.0,153.0,22,192.0,-200.0,-200.0,192.0,22,345.0
21,2006,iwf,M,0.0,Mohamed Ihsan,EGY,A,147.14,-190.0,-190.0,-190.0,-190.0,26,241.0,-246.0,-247.0,241.0,3,0.0
22,2006,iwf,M,0.0,Saša Čegar,CRO,B,107.32,-151.0,-151.0,-151.0,-151.0,24,0.0,0.0,0.0,0.0,23,0.0
23,2006,iwf,M,0.0,Francisco Guillén,DOM,C,179.88,-150.0,150.0,155.0,155.0,20,-180.0,-180.0,0.0,0.0,23,0.0
24,2006,iwf,M,0.0,Velichko Cholakov,BUL,A,159.8,-185.0,-185.0,-185.0,-185.0,25,0.0,0.0,0.0,0.0,23,0.0
25,2006,iwf,M,0.0,Jim Gyllenhammar,SWE,B,124.57,-168.0,168.0,-173.0,168.0,14,-210.0,-210.0,-210.0,-210.0,26,0.0
