,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,2015,iwf,M,1.0,Om Yun-chol,PRK,A,55.78,127.0,131.0,-133.0,131.0,3,165.0,171.0,-175.0,171.0,1,302.0
1,2015,iwf,M,2.0,Wu Jingbiao,CHN,A,55.93,-135.0,135.0,139.0,139.0,1,160.0,163.0,-166.0,163.0,2,302.0
2,2015,iwf,M,3.0,Thạch Kim Tuấn,VIE,A,55.91,-130.0,130.0,-133.0,130.0,4,151.0,153.0,157.0,157.0,4,287.0
3,2015,iwf,M,4.0,Nestor Colonia,PHI,A,55.95,120.0,-124.0,124.0,124.0,5,152.0,157.0,158.0,158.0,3,282.0
4,2015,iwf,M,5.0,Sergio Rada,COL,A,55.85,115.0,-118.0,118.0,118.0,9,145.0,150.0,-151.0,150.0,6,268.0
5,2015,iwf,M,6.0,Witoon Mingmoon,THA,B,55.67,-110.0,110.0,-115.0,110.0,18,150.0,155.0,-158.0,155.0,5,265.0
6,2015,iwf,M,7.0,Sinphet Kruaithong,THA,A,55.75,120.0,-123.0,-123.0,120.0,7,141.0,-145.0,145.0,145.0,10,265.0
7,2015,iwf,M,8.0,Habib de las Salas,COL,A,55.87,-113.0,113.0,117.0,117.0,10,145.0,-151.0,-153.0,145.0,10,262.0
8,2015,iwf,M,9.0,Surahmat Wijoyo,INA,B,55.63,-112.0,112.0,-116.0,112.0,16,140.0,145.0,149.0,149.0,7,261.0
9,2015,iwf,M,10.0,Josué Brachi,ESP,B,55.74,115.0,118.0,120.0,120.0,7,138.0,140.0,-143.0,140.0,16,260.0
10,2015,iwf,M,11.0,Muhammad Purkon,INA,B,55.47,115.0,-119.0,-119.0,115.0,11,135.0,140.0,143.0,143.0,13,258.0
11,2015,iwf,M,12.0,Mirco Scarantino,ITA,A,55.76,-115.0,-115.0,115.0,115.0,11,142.0,-147.0,-147.0,142.0,14,257.0
12,2015,iwf,M,13.0,José Montes,MEX,B,55.88,-110.0,110.0,-113.0,110.0,18,-146.0,146.0,-149.0,146.0,9,256.0
13,2015,iwf,M,14.0,Nguyễn Trần Anh Tuấn,VIE,B,55.82,110.0,115.0,-117.0,115.0,11,-140.0,140.0,-146.0,140.0,16,255.0
14,2015,iwf,M,15.0,Hiroaki Takao,JPN,C,55.82,-108.0,108.0,111.0,111.0,17,-134.0,134.0,137.0,137.0,19,248.0
15,2015,iwf,M,16.0,Enmanuel Rocafuerte,ECU,C,55.92,105.0,108.0,-110.0,108.0,21,135.0,140.0,-142.0,140.0,16,248.0
16,2015,iwf,M,17.0,Tan Chi-chung,TPE,C,55.79,-110.0,110.0,-113.0,110.0,18,135.0,-138.0,-138.0,135.0,20,245.0
17,2015,iwf,M,18.0,İsmet Algül,TUR,B,55.73,111.0,114.0,-116.0,114.0,14,-130.0,130.0,-135.0,130.0,26,244.0
18,2015,iwf,M,19.0,Jamjang Deru,IND,C,55.75,-102.0,102.0,-105.0,102.0,27,133.0,138.0,142.0,142.0,14,244.0
19,2015,iwf,M,20.0,Tom Goegebuer,BEL,C,55.78,-108.0,109.0,113.0,113.0,15,-128.0,-130.0,130.0,130.0,26,243.0
20,2015,iwf,M,21.0,Gökhan Kılıç,TUR,B,55.86,108.0,-111.0,-111.0,108.0,21,132.0,-138.0,-138.0,132.0,25,240.0
21,2015,iwf,M,22.0,Manueli Tulo,FIJ,C,55.93,103.0,107.0,-110.0,107.0,23,127.0,133.0,-138.0,133.0,21,240.0
22,2015,iwf,M,23.0,Oleg Sîrghi,MDA,C,55.91,100.0,105.0,0.0,105.0,25,-132.0,-133.0,133.0,133.0,21,238.0
23,2015,iwf,M,24.0,Ösökhbayaryn Chagnaadorj,MGL,C,55.36,100.0,-105.0,105.0,105.0,25,130.0,-136.0,-136.0,130.0,26,235.0
24,2015,iwf,M,25.0,Sukhen Dey,IND,C,55.69,95.0,102.0,-106.0,102.0,27,133.0,-138.0,-138.0,133.0,21,235.0
25,2015,iwf,M,26.0,Francisco Barrera,CHI,C,55.8,102.0,-105.0,-105.0,102.0,27,-130.0,-130.0,130.0,130.0,26,232.0
26,2015,iwf,M,27.0,Michael Otero,ESP,C,55.96,-97.0,-97.0,97.0,97.0,30,-127.0,127.0,-132.0,127.0,30,224.0
27,2015,iwf,M,0.0,Arli Chontey,KAZ,A,55.54,127.0,-131.0,132.0,132.0,2,-150.0,-150.0,-150.0,-150.0,33,0.0
28,2015,iwf,M,0.0,Amine Bouhijbha,TUN,B,55.66,107.0,-111.0,-111.0,107.0,23,-135.0,-135.0,-135.0,-135.0,32,0.0
29,2015,iwf,M,0.0,Luis García,DOM,B,55.63,-112.0,-112.0,-115.0,-112.0,32,140.0,145.0,148.0,148.0,8,0.0
30,2015,iwf,M,0.0,Ilie Ciotoiu,ROU,B,55.87,-104.0,-104.0,-104.0,-104.0,31,133.0,-136.0,-136.0,133.0,21,0.0
31,2015,iwf,M,0.0,Long Qingquan,CHN,A,55.93,-131.0,-131.0,-131.0,-131.0,33,0.0,0.0,0.0,0.0,31,0.0
32,2015,iwf,M,0.0,Mansour Al-Saleem,KSA,B,55.53,119.0,-123.0,123.0,123.0,6,138.0,141.0,144.0,144.0,12,0.0
