,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,1980,oly,M,1.0,Daniel Núñez,CUB,A,55.6,117.5,122.5,125.0,125.0,1,145.0,150.0,-152.5,150.0,2,275.0
1,1980,oly,M,2.0,Yurik Sarkisyan,URS,A,55.8,-112.5,112.5,-117.5,112.5,5,150.0,155.0,157.5,157.5,1,270.0
2,1980,oly,M,3.0,Tadeusz Dembończyk,POL,A,55.6,115.0,120.0,-122.5,120.0,2,140.0,-145.0,145.0,145.0,5,265.0
3,1980,oly,M,4.0,Andreas Letz,GDR,A,55.6,110.0,-115.0,115.0,115.0,3,145.0,150.0,-152.5,150.0,2,265.0
4,1980,oly,M,5.0,Yang Eui Yong,PRK,A,55.75,107.5,112.5,-115.0,112.5,5,145.0,-150.0,150.0,150.0,2,262.5
5,1980,oly,M,6.0,Imre Stefanovics,HUN,A,55.15,110.0,-115.0,115.0,115.0,3,145.0,-150.0,-150.0,145.0,5,260.0
6,1980,oly,M,7.0,Gheorghe Maftei,ROU,A,55.4,105.0,-110.0,-110.0,105.0,8,142.5,-147.5,-147.5,142.5,7,247.5
7,1980,oly,M,8.0,Petre Pavel,ROU,A,55.4,-105.0,-105.0,105.0,105.0,8,140.0,-145.0,-145.0,140.0,8,245.0
8,1980,oly,M,9.0,Choe Jong Sop,PRK,A,55.7,100.0,105.0,-110.0,105.0,8,132.5,137.5,-142.5,137.5,10,242.5
9,1980,oly,M,10.0,Ioannis Sidiropoulos,GRE,A,55.95,-102.5,102.5,-107.5,102.5,15,132.5,137.5,140.0,140.0,8,242.5
10,1980,oly,M,11.0,Ahmed Tarbi,ALG,A,55.55,100.0,105.0,-107.5,105.0,8,127.5,132.5,135.0,135.0,11,240.0
11,1980,oly,M,12.0,Abdul Karim Gizar,IRQ,A,55.85,100.0,105.0,-107.5,105.0,8,127.5,132.5,135.0,135.0,11,240.0
12,1980,oly,M,13.0,Arvo Ojalehto,FIN,A,55.95,-105.0,-105.0,105.0,105.0,8,132.5,-137.5,-137.5,132.5,13,237.5
13,1980,oly,M,14.0,Johnny Helsing,SWE,A,55.85,-95.0,95.0,100.0,100.0,16,132.5,-137.5,-137.5,132.5,13,232.5
14,1980,oly,M,15.0,Pertti Torikka,SWE,A,55.7,100.0,-105.0,-105.0,100.0,16,130.0,-135.0,-135.0,130.0,15,230.0
15,1980,oly,M,16.0,Lorenzo Orsini,AUS,A,55.15,90.0,-95.0,95.0,95.0,19,120.0,-125.0,125.0,125.0,16,220.0
16,1980,oly,M,17.0,Ali Shalabi,LBA,A,55.95,85.0,90.0,95.0,95.0,19,115.0,120.0,-125.0,120.0,17,215.0
17,1980,oly,M,18.0,Ashok Kumar Karki,NEP,A,55.4,60.0,65.0,-67.5,65.0,21,-80.0,-80.0,80.0,80.0,18,145.0
18,1980,oly,M,0.0,György Kőszegi,HUN,A,55.55,110.0,-115.0,-115.0,110.0,7,-142.5,-142.5,-142.5,-142.5,21,0.0
19,1980,oly,M,0.0,Bruno Lebrun,FRA,A,56.0,105.0,-110.0,-110.0,105.0,8,-132.5,-132.5,-132.5,-132.5,20,0.0
20,1980,oly,M,0.0,Tamil Selwan Muniswamy,IND,A,56.0,-100.0,-100.0,100.0,100.0,16,-115.0,-115.0,-115.0,-115.0,19,0.0
