,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,1980,oly,M,1.0,Yanko Rusev,BUL,A,66.9,142.5,147.5,-150.0,147.5,1,185.0,190.0,195.0,195.0,1,342.5
1,1980,oly,M,2.0,Joachim Kunz,GDR,A,67.3,145.0,-150.0,-150.0,145.0,3,185.0,190.0,-195.0,190.0,2,335.0
2,1980,oly,M,3.0,Mincho Pashov,BUL,A,67.1,135.0,140.0,142.5,142.5,5,177.5,182.5,-190.0,182.5,3,325.0
3,1980,oly,M,4.0,Daniel Senet,FRA,A,67.3,140.0,145.0,147.5,147.5,1,170.0,175.0,-180.0,175.0,6,322.5
4,1980,oly,M,5.0,Günter Ambraß,GDR,A,66.85,-135.0,135.0,140.0,140.0,6,175.0,180.0,-185.0,180.0,4,320.0
5,1980,oly,M,6.0,Zbigniew Kaczmarek,POL,A,67.15,135.0,140.0,-142.5,140.0,6,-177.5,177.5,-182.5,177.5,5,317.5
6,1980,oly,M,7.0,Raúl González,CUB,A,67.25,140.0,145.0,-147.5,145.0,3,172.5,-177.5,-177.5,172.5,7,317.5
7,1980,oly,M,8.0,Virgil Dociu,ROU,A,67.1,135.0,140.0,-142.5,140.0,6,-170.0,170.0,-175.0,170.0,8,310.0
8,1980,oly,M,9.0,Dušan Drška,TCH,A,67.0,-130.0,130.0,0.0,130.0,9,160.0,-175.0,-175.0,160.0,9,290.0
9,1980,oly,M,10.0,Juhani Salakka,FIN,A,66.65,125.0,-130.0,130.0,130.0,9,152.5,-157.5,-157.5,152.5,14,282.5
10,1980,oly,M,11.0,Basilios Stellios,AUS,A,67.35,-122.5,122.5,-127.5,122.5,13,155.0,160.0,-165.0,160.0,9,282.5
11,1980,oly,M,12.0,Nicolas Lasorsa,FRA,A,67.0,125.0,-130.0,-130.0,125.0,11,-155.0,155.0,-160.0,155.0,12,280.0
12,1980,oly,M,13.0,Li Gwang-Ju,PRK,A,67.35,125.0,-130.0,-130.0,125.0,11,-155.0,155.0,-157.5,155.0,12,280.0
13,1980,oly,M,14.0,Leo Isaac,GBR,A,67.5,117.5,-122.5,-122.5,117.5,17,157.5,-165.0,-165.0,157.5,11,275.0
14,1980,oly,M,15.0,Pavlos Lespouridis,GRE,A,66.8,120.0,-125.0,-125.0,120.0,14,-145.0,145.0,150.0,150.0,15,270.0
15,1980,oly,M,16.0,Walter Legel,AUT,A,66.95,120.0,-125.0,-125.0,120.0,14,150.0,-155.0,-155.0,150.0,15,270.0
16,1980,oly,M,17.0,Mohammed Yaseen Mohammed,IRQ,A,67.4,120.0,-125.0,-125.0,120.0,14,145.0,-155.0,-155.0,145.0,18,270.0
17,1980,oly,M,18.0,Alan Winterbourne,GBR,A,67.35,-117.5,-117.5,117.5,117.5,17,150.0,-160.0,-160.0,150.0,15,267.5
18,1980,oly,M,19.0,Andrés Santoyo,MEX,A,59.6,-115.0,115.0,-120.0,115.0,19,145.0,-155.0,-155.0,145.0,18,260.0
19,1980,oly,M,20.0,Sergio De Luca,SMR,A,56.0,105.0,110.0,-112.5,110.0,20,137.5,142.5,145.0,145.0,18,255.0
