,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,1996,oly,M,1.0,Andrei Chemerkin,RUS,A,165.47,190.0,197.5,-202.5,197.5,3,240.0,250.0,260.0,260.0,1,457.5
1,1996,oly,M,2.0,Ronny Weller,GER,A,138.09,195.0,200.0,-202.5,200.0,1,245.0,252.5,255.0,255.0,2,455.0
2,1996,oly,M,3.0,Stefan Botev,AUS,A,123.96,195.0,200.0,-202.5,200.0,1,240.0,250.0,-255.0,250.0,3,450.0
3,1996,oly,M,4.0,Kim Tae-hyun,KOR,A,133.3,-190.0,190.0,-195.0,190.0,5,240.0,247.5,-257.5,247.5,4,437.5
4,1996,oly,M,5.0,Aleksandr Kurlovich,BLR,A,133.74,-195.0,-195.0,195.0,195.0,4,230.0,-247.5,0.0,230.0,7,425.0
5,1996,oly,M,6.0,Manfred Nerlinger,GER,A,164.42,180.0,-185.0,185.0,185.0,7,237.5,-242.5,-245.0,237.5,5,422.5
6,1996,oly,M,7.0,Pavlos Saltsidis,GRE,A,132.79,-180.0,180.0,185.0,185.0,7,-230.0,230.0,235.0,235.0,6,420.0
7,1996,oly,M,8.0,Tibor Stark,HUN,A,128.78,180.0,185.0,187.5,187.5,6,220.0,227.5,-230.0,227.5,8,415.0
8,1996,oly,M,9.0,Raimonds Bergmanis,LAT,B,131.85,172.5,-177.5,177.5,177.5,10,217.5,-225.0,225.0,225.0,10,402.5
9,1996,oly,M,10.0,Stian Grimseth,NOR,A,141.96,-180.0,180.0,-187.5,180.0,9,220.0,-225.0,-225.0,220.0,11,400.0
10,1996,oly,M,11.0,Erdinç Aslan,TUR,B,138.08,165.0,170.0,-175.0,170.0,15,210.0,220.0,227.5,227.5,8,397.5
11,1996,oly,M,12.0,Anders Bergström,SWE,B,131.21,170.0,-175.0,175.0,175.0,13,212.5,220.0,-225.0,220.0,11,395.0
12,1996,oly,M,13.0,Ashot Danielyan,ARM,B,148.53,170.0,177.5,-180.0,177.5,10,210.0,-215.0,217.5,217.5,13,395.0
13,1996,oly,M,14.0,Mark Henry,USA,A,184.92,175.0,-182.5,-185.0,175.0,13,202.5,0.0,0.0,202.5,15,377.5
14,1996,oly,M,15.0,Steve Kettner,AUS,B,136.38,160.0,165.0,170.0,170.0,15,190.0,200.0,205.0,205.0,14,375.0
15,1996,oly,M,16.0,Thomas Ingalsbe,USA,B,151.22,160.0,165.0,-170.0,165.0,17,-200.0,200.0,0.0,200.0,16,365.0
16,1996,oly,M,17.0,Sunil Lal Joshi,NEP,B,115.61,112.5,120.0,-125.0,120.0,18,-150.0,160.0,162.5,162.5,17,282.5
17,1996,oly,M,0.0,Igor Khalilov,UZB,A,131.73,177.5,-182.5,0.0,177.5,10,0.0,0.0,0.0,0.0,18,0.0
18,1996,oly,M,0.0,Leonid Taranenko,BLR,A,150.55,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,18,0.0
