,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,2012,oly,W,1.0,Zhou Lulu,CHN,A,130.83,142.0,-146.0,146.0,146.0,2,181.0,187.0,-190.0,187.0,1,333.0
1,2012,oly,W,2.0,Tatiana Kashirina,RUS,A,102.31,144.0,149.0,151.0,151.0,1,175.0,181.0,-187.0,181.0,2,332.0
2,2012,oly,W,3.0,Jang Mi-ran,KOR,A,118.07,120.0,125.0,-129.0,125.0,5,158.0,164.0,-170.0,164.0,4,289.0
3,2012,oly,W,4.0,Nahla Ramadan,EGY,A,105.51,122.0,-125.0,-125.0,122.0,6,150.0,155.0,-158.0,155.0,5,277.0
4,2012,oly,W,5.0,Ele Opeloge,SAM,A,124.89,117.0,-122.0,-122.0,117.0,8,145.0,150.0,-155.0,150.0,6,267.0
5,2012,oly,W,6.0,Sarah Robles,USA,A,124.35,114.0,-118.0,120.0,120.0,7,-144.0,-145.0,145.0,145.0,7,265.0
6,2012,oly,W,7.0,Oliba Nieve,ECU,A,97.43,113.0,117.0,-120.0,117.0,8,-138.0,138.0,-142.0,138.0,9,255.0
7,2012,oly,W,8.0,Mami Shimamoto,JPN,A,105.9,103.0,107.0,110.0,110.0,10,138.0,143.0,-146.0,143.0,8,253.0
8,2012,oly,W,9.0,Holley Mangold,USA,A,157.04,-105.0,105.0,-110.0,105.0,11,135.0,-140.0,-140.0,135.0,10,240.0
9,2012,oly,W,10.0,Astrid Camposeco,GUA,A,88.52,87.0,91.0,93.0,93.0,12,112.0,115.0,-117.0,115.0,11,208.0
10,2012,oly,W,11.0,Luisa Peters,COK,A,88.58,74.0,78.0,82.0,82.0,13,95.0,100.0,-105.0,100.0,13,182.0
11,2012,oly,W,12.0,Alberta Ampomah,GHA,A,78.53,-70.0,70.0,73.0,73.0,14,-97.0,97.0,101.0,101.0,12,174.0
12,2012,oly,W,0.0,Mariam Usman,NGR,A,120.79,125.0,129.0,-133.0,129.0,3,-160.0,-160.0,-160.0,-160.0,14,0.0
13,2012,oly,W,0.0,Hripsime Khurshudyan,ARM,A,87.58,124.0,128.0,-132.0,128.0,4,158.0,-166.0,166.0,166.0,3,294.0
