,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,2016,oly,W,1.0,Xiang Yanmei,China,A,68.78,113.0,116.0,-118.0,116.0,1,142.0,145.0,-147.0,145.0,1,261.0
1,2016,oly,W,2.0,Zhazira Zhapparkul,Kazakhstan,A,69.0,111.0,115.0,-117.0,115.0,2,-140.0,140.0,144.0,144.0,2,259.0
2,2016,oly,W,3.0,Sara Ahmed,Egypt,A,68.0,107.0,110.0,112.0,112.0,3,135.0,140.0,143.0,143.0,3,255.0
3,2016,oly,W,4.0,Leydi Solís,Colombia,A,68.61,106.0,-110.0,110.0,110.0,4,140.0,143.0,-146.0,143.0,3,253.0
4,2016,oly,W,5.0,Nazik Avdalyan,Armenia,A,68.55,103.0,-107.0,107.0,107.0,5,130.0,133.0,135.0,135.0,5,242.0
5,2016,oly,W,6.0,Darya Pachabut,Belarus,A,66.88,-105.0,105.0,-108.0,105.0,8,126.0,132.0,-137.0,132.0,6,237.0
6,2016,oly,W,7.0,Neisi Dajomes,Ecuador,B,68.83,100.0,104.0,107.0,107.0,5,130.0,-135.0,-135.0,130.0,8,237.0
7,2016,oly,W,8.0,Mönkhjantsangiin Ankhtsetseg,Mongolia,A,68.97,-106.0,106.0,-108.0,106.0,7,131.0,-135.0,-135.0,131.0,7,237.0
8,2016,oly,W,9.0,Marie-Ève Beauchemin-Nadeau,Canada,A,68.81,-98.0,98.0,-103.0,98.0,12,130.0,-135.0,-136.0,130.0,8,228.0
9,2016,oly,W,10.0,Rebekah Tiler,Great Britain,B,68.59,98.0,-101.0,101.0,101.0,9,122.0,-126.0,126.0,126.0,10,227.0
10,2016,oly,W,11.0,Apolonia Vaivai,Fiji,B,68.88,-88.0,88.0,-92.0,88.0,15,108.0,113.0,-117.0,113.0,11,201.0
11,2016,oly,W,12.0,Duygu Aynacı,Turkey,B,68.83,85.0,88.0,90.0,90.0,13,105.0,-110.0,110.0,110.0,12,200.0
12,2016,oly,W,13.0,Gulnabat Kadyrova,Turkmenistan,B,68.73,85.0,90.0,-94.0,90.0,13,-100.0,-105.0,105.0,105.0,13,195.0
13,2016,oly,W,14.0,Arcangeline Fouodji,Cameroon,B,68.08,77.0,82.0,-86.0,82.0,16,100.0,105.0,-110.0,105.0,13,187.0
14,2016,oly,W,0.0,Patrycja Piechowiak,Poland,B,68.32,98.0,101.0,-103.0,101.0,9,0.0,0.0,0.0,0.0,15,0.0
15,2016,oly,W,0.0,Florina Sorina Hulpan,Romania,A,67.52,-100.0,-100.0,100.0,100.0,11,0.0,0.0,0.0,0.0,15,0.0
16,2016,oly,W,0.0,Anastasiya Mikhalenka,Belarus,A,67.23,-103.0,-103.0,-103.0,-103.0,17,0.0,0.0,0.0,0.0,15,0.0
